redcap_event_name,group,group_value,list_discipline,list_year_enrolled,student_survey_timestamp,advanced,milestones_cogsci,milestones_psysci,enjoy,good,nonexperts,discouraged,writers_block,inspired,cant_start,rejection,rcv_fdbk,gv_fdbk,timeblock,hours,conference_submit,conference_accept,perma_hap,Person,IV,Epoch
sept_2021_arm_1,1,100,NaN,NaN,06/23/0022 10:07,1,NaN,NaN,4,4,5,5,3,2,2,1,1,5,30,6,NaN,NaN,NaN,1006,1,3
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,06/23/0022 22:39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1006,1,3
phdx_study_enrollm_arm_1,NaN,NaN,9,6,06/23/0022 10:07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1020,1,3
sept_2021_arm_1,1,35,NaN,NaN,06/23/0022 10:07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1020,1,3
phdx_study_enrollm_arm_1,NaN,NaN,4,9,06/24/0022 16:33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,3
sept_2021_arm_1,1,66,NaN,NaN,06/24/0022 16:33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,3
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,06/21/0022 11:38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,3
sept_2021_arm_1,NaN,NaN,NaN,NaN,06/21/0022 11:38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1025,1,3
phdx_study_enrollm_arm_1,NaN,NaN,7,5,06/23/0022 10:07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,3
sept_2021_arm_1,1,100,NaN,NaN,06/23/0022 10:07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,3
june_2022_arm_1,NaN,NaN,NaN,NaN,06/23/0022 10:08,1,NaN,NaN,7,6,4,7,7,7,5,4,4,7,30,40,2,0,83,1071,1,3
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,06/21/0022 11:38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,3
sept_2021_arm_1,NaN,100,NaN,NaN,06/21/0022 11:38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1071,1,3
phdx_study_enrollm_arm_1,NaN,NaN,1,5,06/23/0022 10:42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075,1,3
sept_2021_arm_1,1,50,NaN,NaN,06/23/0022 10:42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075,1,3
phdx_study_enrollm_arm_1,NaN,NaN,1,4,06/23/0022 10:02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1117,1,3
sept_2021_arm_1,1,97,NaN,NaN,06/23/0022 10:02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1117,1,3
phdx_study_enrollm_arm_1,NaN,NaN,9,6,06/23/0022 15:19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1,3
sept_2021_arm_1,1,90,NaN,NaN,06/23/0022 15:19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1,3
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,06/29/0022 09:21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,1,3
june_2022_arm_1,NaN,NaN,NaN,NaN,06/24/0022 11:22,1,NaN,NaN,3,3,5,5,5,3,3,2,3,5,60,3,4,4,50,1220,1,3
phdx_study_enrollm_arm_1,NaN,NaN,6,8,06/23/0022 09:54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1283,1,3
sept_2021_arm_1,1,84,NaN,NaN,06/23/0022 09:54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1283,1,3
june_2022_arm_1,NaN,NaN,NaN,NaN,06/23/0022 12:06,0,NaN,NaN,6,5,4,7,7,7,1,3,3,2,20,4,0,0,7,1283,1,3
phdx_study_enrollm_arm_1,NaN,NaN,8,8,09/28/0021 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1001,2,1
sept_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 00:00,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1001,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1001,2,1
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,09/28/0021 23:35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1001,2,1
sept_2021_arm_1,2,NaN,NaN,NaN,09/29/0021 00:43,0,NaN,3,7,4,5,5,5,5,4,3,3,3,60,10,5,5,68,1001,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/29/0021 00:43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1001,2,1
phdx_study_enrollm_arm_1,NaN,NaN,8,8,09/28/0021 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1002,2,1
sept_2021_arm_1,3,50,NaN,NaN,09/28/0021 09:44,0,NaN,3,5,4,4,5,6,5,5,3,2,4,79,20,1,1,74,1002,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 09:44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1002,2,1
proposals_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 09:44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1002,2,1
phdx_study_enrollm_arm_1,NaN,NaN,8,9,09/28/0021 09:44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1003,2,1
sept_2021_arm_1,3,70,NaN,NaN,09/28/0021 09:52,0,NaN,2,5,5,5,7,7,7,6,3,5,6,30,3,1,1,38,1003,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 09:52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1003,2,1
phdx_study_enrollm_arm_1,NaN,NaN,2,10,09/28/0021 09:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1009,2,1
sept_2021_arm_1,3,61,NaN,NaN,09/28/0021 10:12,0,1,NaN,1,1,5,6,7,7,5,6,2,4,30,1,1,1,91,1009,2,1
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,10/05/0021 13:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1009,2,1
sept_2021_arm_1,NaN,NaN,NaN,NaN,10/05/0021 13:36,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1009,2,1
phdx_study_enrollm_arm_1,NaN,NaN,1,8,09/28/0021 09:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1012,2,1
sept_2021_arm_1,3,100,NaN,NaN,09/28/0021 09:40,1,NaN,NaN,5,6,6,6,5,4,3,4,4,6,15,15,1,0,50,1012,2,1
phdx_study_enrollm_arm_1,NaN,NaN,2,9,09/28/0021 09:47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1018,2,1
sept_2021_arm_1,2,50,NaN,NaN,09/28/0021 09:47,0,2,NaN,6,6,5,7,6,5,7,6,5,6,16,3,0,0,NaN,1018,2,1
phdx_study_enrollm_arm_1,NaN,NaN,1,6,09/28/0021 09:47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1019,2,1
sept_2021_arm_1,2,100,NaN,NaN,09/28/0021 09:50,1,NaN,NaN,6,3,4,7,7,7,7,4,4,5,39,5,0,1,73,1019,2,1
phdx_study_enrollm_arm_1,NaN,NaN,3,8,09/28/0021 09:44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1030,2,1
sept_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 09:44,0,NaN,NaN,7,7,7,5,4,4,2,2,1,7,100,5,NaN,NaN,NaN,1030,2,1
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,09/28/0021 12:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1030,2,1
sept_2021_arm_1,2,64,NaN,NaN,09/28/0021 12:42,0,NaN,NaN,7,5,6,4,4,3,1,3,1,6,30,5,0,0,50,1030,2,1
phdx_study_enrollm_arm_1,NaN,NaN,2,10,09/28/0021 09:58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
sept_2021_arm_1,2,NaN,NaN,NaN,09/28/0021 10:37,0,1,NaN,5,5,7,4,4,4,5,1,2,6,30,30,0,0,75,1039,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
proposals_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
phdx_study_enrollm_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
sept_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:47,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1039,2,1
phdx_study_enrollm_arm_1,NaN,NaN,2,8,09/28/0021 09:55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1043,2,1
sept_2021_arm_1,2,50,NaN,NaN,09/28/0021 12:32,0,1,NaN,5,3,5,5,5,5,5,5,4,3,50,10,1,0,60,1043,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 12:32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1043,2,1
phdx_study_enrollm_arm_1,NaN,NaN,9,10,09/28/0021 12:32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1044,2,1
sept_2021_arm_1,3,65,NaN,NaN,09/28/0021 09:54,0,NaN,NaN,5,6,7,5,2,3,5,3,2,4,20,8,1,1,69,1044,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 09:54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1044,2,1
phdx_study_enrollm_arm_1,NaN,NaN,3,7,09/28/0021 09:57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1048,2,1
sept_2021_arm_1,2,30,NaN,NaN,09/28/0021 09:57,1,NaN,NaN,7,6,7,2,2,2,7,3,1,3,100,2,0,0,74,1048,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 09:57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1048,2,1
phdx_study_enrollm_arm_1,NaN,NaN,5,9,09/28/0021 09:57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1049,2,1
sept_2021_arm_1,3,66,NaN,NaN,09/28/0021 10:13,0,NaN,NaN,2,2,5,6,6,5,5,6,6,4,14,4,3,3,50,1049,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1049,2,1
phdx_study_enrollm_arm_1,NaN,NaN,3,7,09/28/0021 10:01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1062,2,1
sept_2021_arm_1,2,100,NaN,NaN,09/28/0021 10:04,1,NaN,NaN,6,6,5,7,6,4,6,7,1,5,30,1,0,0,11,1062,2,1
phdx_study_enrollm_arm_1,NaN,NaN,7,10,09/28/0021 10:04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1064,2,1
sept_2021_arm_1,2,75,NaN,NaN,09/28/0021 10:03,0,NaN,NaN,6,6,6,5,5,4,4,3,3,5,30,4,0,0,70,1064,2,1
phdx_study_enrollm_arm_1,NaN,NaN,9,9,09/28/0021 10:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1090,2,1
sept_2021_arm_1,2,50,NaN,NaN,09/28/0021 10:32,0,NaN,NaN,6,6,6,4,3,3,4,3,3,5,25,10,0,0,50,1090,2,1
phdx_study_enrollm_arm_1,NaN,NaN,4,10,09/28/0021 10:32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1092,2,1
sept_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 10:32,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1092,2,1
phdx_study_enrollm_arm_1,NaN,NaN,6,9,09/28/0021 10:32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1093,2,1
sept_2021_arm_1,2,100,NaN,NaN,09/28/0021 10:53,0,NaN,NaN,5,6,3,5,6,3,1,5,5,5,15,4,0,0,75,1093,2,1
phdx_study_enrollm_arm_1,NaN,NaN,8,8,09/28/0021 11:13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1104,2,1
sept_2021_arm_1,2,50,NaN,NaN,09/28/0021 11:13,0,NaN,3,5,4,5,4,5,5,3,2,5,4,60,6,NaN,NaN,NaN,1104,2,1
proposals_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 11:13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1104,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 11:13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1104,2,1
phdx_study_enrollm_arm_1,NaN,NaN,4,10,09/28/0021 11:13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1105,2,1
sept_2021_arm_1,2,55,NaN,NaN,09/28/0021 11:58,0,NaN,NaN,6,5,6,5,5,5,4,3,4,5,50,3,0,0,68,1105,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 11:58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1105,2,1
phdx_study_enrollm_arm_1,NaN,NaN,6,10,09/28/0021 11:40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1113,2,1
sept_2021_arm_1,3,60,NaN,NaN,09/28/0021 11:40,0,NaN,NaN,6,6,4,5,5,5,6,4,3,6,25,8,NaN,NaN,NaN,1113,2,1
phdx_study_enrollm_arm_1,NaN,NaN,6,10,09/28/0021 11:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,2,1
sept_2021_arm_1,NaN,NaN,NaN,NaN,09/28/0021 11:51,0,NaN,NaN,7,6,4,4,4,3,2,2,2,2,50,3,NaN,NaN,NaN,1115,2,1
june_2022_arm_1,NaN,NaN,NaN,NaN,09/28/0021 11:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,2,1
phdx_study_enrollm_arm_1,NaN,NaN,7,9,09/28/0021 11:51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1116,2,1
sept_2021_arm_1,2,100,NaN,NaN,09/28/0021 11:51,0,NaN,NaN,5,5,6,6,6,6,6,5,5,5,20,4,NaN,NaN,NaN,1116,2,1
phdx_study_enrollm_arm_1,NaN,NaN,9,5,09/28/0021 12:18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1119,2,1
sept_2021_arm_1,3,100,NaN,NaN,09/28/0021 12:18,1,NaN,NaN,3,4,5,6,6,3,3,4,6,6,30,4,2,2,NaN,1119,2,1
