record_id,Duplicate_1,Duplicate_2,Duplicate_3,redcap_event_name,redcap_survey_identifier,student_survey_timestamp,group,group_value,list_discipline,list_year_enrolled,advanced,student_survey_new_participant_timestamp,advanced_nu,milestones_cogsci,milestones_cogsci_nu,milestones_psysci,milestones_psysci_nu,enjoy,enjoy_nu,good,good_nu,nonexperts,nonexperts_nu,discouraged,discouraged_nu,writers_block,writers_block_nu,inspired,inspired_nu,cant_start,cant_start_nu,rejection,rejection_nu,rcv_fdbk,rcv_fdbk_nu,gv_fdbk,gv_fdbk_nu,timeblock,timeblock_j22_nu,hours,hours_j22_nu,conference_submit,conference_submit_nu,conference_accept,conference_accept_nu,perma_hap,perma_hap_nu
4,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,5,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:56,1,98,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,6,NaN,7,NaN,7,NaN,7,NaN,5,NaN,2,NaN,4,NaN,6,NaN,5,NaN,14,NaN,3,NaN,2,NaN,63,NaN
5,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:52,5,NaN,NaN,NaN,0,06/21/0022 11:17,0,1,3,NaN,NaN,6,6,4,5,6,6,5,5,5,6,6,4,5,6,5,3,2,5,4,5,30,10,3,15,0,2,0,2,50,58
5,NaN,NaN,NaN,proposals_2021_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 10:07,0,NaN,3,NaN,NaN,NaN,6,NaN,5,NaN,6,NaN,5,NaN,5,NaN,6,NaN,5,NaN,3,NaN,3,NaN,5,NaN,10,NaN,12,NaN,2,NaN,2,NaN,62
5,NaN,NaN,NaN,proposals_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,328,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,6,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:45,1,100,NaN,NaN,1,01/01/0000 00:00,1,NaN,NaN,NaN,NaN,5,4,3,4,5,5,6,5,2,3,1,2,1,2,1,1,2,1,4,5,10,30,12,6,0,NaN,0,NaN,79,NaN
7,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,5,NaN,NaN,NaN,0,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,2,NaN,3,NaN,5,NaN,6,NaN,6,NaN,6,NaN,6,NaN,6,NaN,6,NaN,6,NaN,40,NaN,200,NaN,0,NaN,0,NaN,NaN,NaN
8,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,7,NaN,5,NaN,5,NaN,2,NaN,2,NaN,2,NaN,2,NaN,3,NaN,6,NaN,15,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,218,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:12,3,61,NaN,NaN,0,NaT,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,5,NaN,6,NaN,7,NaN,7,NaN,5,NaN,6,NaN,2,NaN,4,NaN,30,NaN,1,NaN,1,NaN,1,NaN,91,NaN
10,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:48,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,5,NaN,5,NaN,5,NaN,4,NaN,7,NaN,5,NaN,6,NaN,1,NaN,4,NaN,30,NaN,8,NaN,0,NaN,0,NaN,76,NaN
12,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:40,3,100,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,6,NaN,6,NaN,6,NaN,5,NaN,4,NaN,3,NaN,4,NaN,4,NaN,6,NaN,15,NaN,15,NaN,1,NaN,0,NaN,50,NaN
13,219,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,4,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:48,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,6,NaN,6,NaN,7,NaN,7,NaN,6,NaN,1,NaN,1,NaN,7,NaN,75,NaN,45,NaN,0,NaN,0,NaN,71,NaN
14,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:51,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,6,NaN,7,NaN,7,NaN,7,NaN,5,NaN,5,NaN,3,NaN,5,NaN,11,NaN,10,NaN,0,NaN,0,NaN,57,NaN
15,257,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,6,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:50,5,NaN,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,2,NaN,2,NaN,5,NaN,6,NaN,6,NaN,6,NaN,6,NaN,3,NaN,2,NaN,2,NaN,65,NaN,5,NaN,1,NaN,1,NaN,68,NaN
16,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:47,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,5,NaN,7,NaN,6,NaN,5,NaN,2,NaN,5,NaN,1,NaN,2,NaN,3,NaN,60,NaN,12,NaN,5,NaN,5,NaN,59,NaN
18,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,2,50,NaN,NaN,0,NaT,NaN,2,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,7,NaN,6,NaN,5,NaN,7,NaN,6,NaN,5,NaN,6,NaN,16,NaN,3,NaN,0,NaN,0,NaN,NaN,NaN
19,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,6,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:50,2,100,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,3,NaN,4,NaN,7,NaN,7,NaN,7,NaN,7,NaN,4,NaN,4,NaN,5,NaN,39,NaN,5,NaN,0,NaN,1,NaN,73,NaN
20,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,6,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:46,1,35,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,3,NaN,2,NaN,5,NaN,2,NaN,3,NaN,3,NaN,5,NaN,30,NaN,6,NaN,1,NaN,1,NaN,68,NaN
21,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:06,5,NaN,NaN,NaN,0,NaT,NaN,3,NaN,NaN,NaN,3,NaN,3,NaN,3,NaN,5,NaN,5,NaN,2,NaN,2,NaN,2,NaN,6,NaN,6,NaN,30,NaN,3,NaN,4,NaN,4,NaN,32,NaN
21,NaN,NaN,NaN,proposals_2021_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 12:35,5,NaN,NaN,NaN,0,NaT,NaN,1,NaN,NaN,NaN,6,NaN,5,NaN,5,NaN,5,NaN,6,NaN,7,NaN,7,NaN,2,NaN,1,NaN,7,NaN,40,NaN,20,NaN,2,NaN,2,NaN,65,NaN
22,NaN,NaN,NaN,proposals_2021_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,07/15/0022 15:46,0,NaN,1,NaN,NaN,NaN,5,NaN,6,NaN,3,NaN,7,NaN,6,NaN,6,NaN,5,NaN,3,NaN,1,NaN,6,NaN,20,NaN,1,NaN,1,NaN,1,NaN,72
23,275,356,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:19,5,NaN,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,6,NaN,5,NaN,2,NaN,3,NaN,5,NaN,5,NaN,2,NaN,6,NaN,30,NaN,8,NaN,4,NaN,4,NaN,63,NaN
23,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/24/0022 16:33,1,NaN,NaN,NaN,NaN,NaN,7,NaN,7,NaN,7,NaN,6,NaN,5,NaN,5,NaN,6,NaN,3,NaN,2,NaN,6,NaN,30,NaN,20,NaN,1,NaN,1,NaN,60
24,354,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:52,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,4,NaN,5,NaN,6,NaN,6,NaN,4,NaN,5,NaN,2,NaN,5,NaN,2,NaN,27,NaN,10,NaN,0,NaN,0,NaN,59,NaN
25,258,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,4,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:46,1,66,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,5,NaN,6,NaN,7,NaN,7,NaN,7,NaN,6,NaN,3,NaN,2,NaN,7,NaN,30,NaN,5,NaN,3,NaN,3,NaN,71,NaN
26,297,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,6,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:48,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,6,NaN,5,NaN,2,NaN,3,NaN,5,NaN,6,NaN,5,NaN,7,NaN,60,NaN,10,NaN,1,NaN,1,NaN,78,NaN
26,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 12:23,0,NaN,NaN,NaN,NaN,NaN,6,NaN,5,NaN,6,NaN,5,NaN,6,NaN,6,NaN,5,NaN,6,NaN,6,NaN,6,NaN,30,NaN,10,NaN,1,NaN,1,NaN,62
27,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:05,5,NaN,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,7,NaN,6,NaN,4,NaN,4,NaN,3,NaN,5,NaN,3,NaN,3,NaN,5,NaN,80,NaN,8,NaN,3,NaN,3,NaN,56,NaN
28,224,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 09:44,2,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,5,NaN,6,NaN,6,NaN,5,NaN,6,NaN,5,NaN,5,NaN,3,NaN,5,NaN,33,NaN,5,NaN,0,NaN,0,NaN,50,NaN
29,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,2,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,0,06/21/0022 11:36,1,4,5,NaN,NaN,NaN,5,NaN,3,NaN,5,NaN,5,NaN,5,NaN,4,NaN,3,NaN,3,NaN,5,NaN,5,NaN,60,NaN,4,NaN,2,NaN,2,NaN,50
30,144,236,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,0,06/21/0022 11:44,0,NaN,NaN,NaN,NaN,7,6,7,6,7,7,5,3,4,3,4,5,2,3,2,3,1,2,7,5,100,30,5,1,NaN,0,NaN,0,NaN,73
